GENESIS-Tabelle: 21341-0001
Personal an Hochschulen: Deutschland, Jahre,;;
Personalgruppen nach Beschäftigungsverhältnis, Geschlecht;;
Statistik des Hochschulpersonals;;
Deutschland;;
Personal an Hochschulen (Anzahl);;
;;2022
Wissenschaftliches und künstlerisches Personal;männlich;250296
Wissenschaftliches und künstlerisches Personal;weiblich;178161
Wissenschaftliches und künstlerisches Personal;Insgesamt;428457
  Hauptberufl. wissenschaftl. u. künstler. Personal;männlich;161055
  Hauptberufl. wissenschaftl. u. künstler. Personal;weiblich;117180
  Hauptberufl. wissenschaftl. u. künstler. Personal;Insgesamt;278235
    Dozenten und Assistenten;männlich;2058
    Dozenten und Assistenten;weiblich;1533
    Dozenten und Assistenten;Insgesamt;3591
    Wissenschaftliche und künstlerische Mitarbeiter;männlich;117044
    Wissenschaftliche und künstlerische Mitarbeiter;weiblich;95276
    Wissenschaftliche und künstlerische Mitarbeiter;Insgesamt;212320
    Lehrkräfte für besondere Aufgaben;männlich;5118
    Lehrkräfte für besondere Aufgaben;weiblich;6045
    Lehrkräfte für besondere Aufgaben;Insgesamt;11163
Verwaltungs-, technisches und sonstiges Personal;männlich;105241
Verwaltungs-, technisches und sonstiges Personal;weiblich;253839
Verwaltungs-, technisches und sonstiges Personal;Insgesamt;359080
  Hauptberufl. Verwaltungs-, techn. u.sonst.Personal;männlich;102864
  Hauptberufl. Verwaltungs-, techn. u.sonst.Personal;weiblich;250007
  Hauptberufl. Verwaltungs-, techn. u.sonst.Personal;Insgesamt;352871
    Verwaltungspersonal;männlich;28414
    Verwaltungspersonal;weiblich;88603
    Verwaltungspersonal;Insgesamt;117017
    Bibliothekspersonal;männlich;2368
    Bibliothekspersonal;weiblich;6969
    Bibliothekspersonal;Insgesamt;9337
    Technisches Personal;männlich;33601
    Technisches Personal;weiblich;26850
    Technisches Personal;Insgesamt;60451
    Sonstiges Personal;männlich;14620
    Sonstiges Personal;weiblich;42656
    Sonstiges Personal;Insgesamt;57276
    Pflegepersonal;männlich;16436
    Pflegepersonal;weiblich;66193
    Pflegepersonal;Insgesamt;82629
    Arbeiter;männlich;-
    Arbeiter;weiblich;-
    Arbeiter;Insgesamt;-
    Auszubildende;männlich;6630
    Auszubildende;weiblich;16908
    Auszubildende;Insgesamt;23538
    Praktikanten;männlich;795
    Praktikanten;weiblich;1828
    Praktikanten;Insgesamt;2623
    Sonstiges Personal für Lehre und Forschung;männlich;-
    Sonstiges Personal für Lehre und Forschung;weiblich;-
    Sonstiges Personal für Lehre und Forschung;Insgesamt;-
    Leitungs- und Verwaltungspersonal;männlich;-
    Leitungs- und Verwaltungspersonal;weiblich;-
    Leitungs- und Verwaltungspersonal;Insgesamt;-
  Nebenberufl. Verwaltungs-, techn. u.sonst.Personal;männlich;2377
  Nebenberufl. Verwaltungs-, techn. u.sonst.Personal;weiblich;3832
  Nebenberufl. Verwaltungs-, techn. u.sonst.Personal;Insgesamt;6209
    Sonstige Hilfskräfte;männlich;2377
    Sonstige Hilfskräfte;weiblich;3832
    Sonstige Hilfskräfte;Insgesamt;6209
    Zeitweilig Beschäftigte;männlich;-
    Zeitweilig Beschäftigte;weiblich;-
    Zeitweilig Beschäftigte;Insgesamt;-
Insgesamt;männlich;355537
Insgesamt;weiblich;432000
Insgesamt;Insgesamt;787537
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 15.03.2024 / 14:59:43
