GENESIS-Tabelle: 21341-0001
Personal an Hochschulen: Deutschland, Jahre,;;;;;;;;;;;
Personalgruppen nach Beschäftigungsverhältnis, Geschlecht;;;;;;;;;;;
Statistik des Hochschulpersonals;;;;;;;;;;;
Deutschland;;;;;;;;;;;
Personal an Hochschulen (Anzahl);;;;;;;;;;;
;;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
    Wissenschaftliche Hilfskräfte;Insgesamt;40915;44314;45400;43432;44796;44595;43454;44034;43333;41925
Verwaltungs-, technisches und sonstiges Personal;männlich;86816;87363;88613;90066;91711;93914;97202;100320;103259;105241
Verwaltungs-, technisches und sonstiges Personal;weiblich;205413;206514;210461;214545;218018;223231;233901;243913;250225;253839
Verwaltungs-, technisches und sonstiges Personal;Insgesamt;292229;293877;299074;304611;309729;317145;331103;344233;353484;359080
  Hauptberufl. Verwaltungs-, techn. u.sonst.Personal;männlich;84918;85383;86750;87895;89430;91520;94747;98247;101006;102864
  Hauptberufl. Verwaltungs-, techn. u.sonst.Personal;weiblich;203090;204116;208061;211615;214834;219954;230432;240419;246476;250007
  Hauptberufl. Verwaltungs-, techn. u.sonst.Personal;Insgesamt;288008;289499;294811;299510;304264;311474;325179;338666;347482;352871
    Verwaltungspersonal;männlich;18980;19441;20423;21609;22807;23644;25167;25941;27339;28414
    Verwaltungspersonal;weiblich;65105;66743;69274;71442;74900;77303;81817;83918;85799;88603
    Verwaltungspersonal;Insgesamt;84085;86184;89697;93051;97707;100947;106984;109859;113138;117017
    Bibliothekspersonal;männlich;2688;2602;2588;2438;2425;2397;2454;2443;2350;2368
    Bibliothekspersonal;weiblich;8183;8013;7980;7586;7496;7372;7483;7308;7092;6969
    Bibliothekspersonal;Insgesamt;10871;10615;10568;10024;9921;9769;9937;9751;9442;9337
    Technisches Personal;männlich;31906;31912;31962;31927;32000;32478;32343;33025;33068;33601
    Technisches Personal;weiblich;24911;24740;24463;24820;24787;26583;24914;26360;25028;26850
    Technisches Personal;Insgesamt;56817;56652;56425;56747;56787;59061;57257;59385;58096;60451
    Sonstiges Personal;männlich;13845;13640;13902;13486;13428;13558;13989;14422;14701;14620
    Sonstiges Personal;weiblich;41232;41004;41105;39791;39577;38397;40513;41609;44005;42656
    Sonstiges Personal;Insgesamt;55077;54644;55007;53277;53005;51955;54502;56031;58706;57276
    Pflegepersonal;männlich;11736;12087;12251;12842;13142;13804;14335;15427;16306;16436
    Pflegepersonal;weiblich;53037;52944;54275;56894;56744;58330;60359;63731;66096;66193
    Pflegepersonal;Insgesamt;64773;65031;66526;69736;69886;72134;74694;79158;82402;82629
    Arbeiter;männlich;-;-;-;-;-;-;-;-;-;-
    Arbeiter;weiblich;-;-;-;-;-;-;-;-;-;-
    Arbeiter;Insgesamt;-;-;-;-;-;-;-;-;-;-
    Auszubildende;männlich;5388;5333;5211;5116;5113;5104;5899;6284;6452;6630
    Auszubildende;weiblich;9769;9812;9912;10006;10250;10732;14036;16137;16778;16908
    Auszubildende;Insgesamt;15157;15145;15123;15122;15363;15836;19935;22421;23230;23538
    Praktikanten;männlich;375;368;413;477;515;535;560;705;790;795
    Praktikanten;weiblich;853;860;1052;1076;1080;1237;1310;1356;1678;1828
    Praktikanten;Insgesamt;1228;1228;1465;1553;1595;1772;1870;2061;2468;2623
    Sonstiges Personal für Lehre und Forschung;männlich;-;-;-;-;-;-;-;-;-;-
    Sonstiges Personal für Lehre und Forschung;weiblich;-;-;-;-;-;-;-;-;-;-
    Sonstiges Personal für Lehre und Forschung;Insgesamt;-;-;-;-;-;-;-;-;-;-
    Leitungs- und Verwaltungspersonal;männlich;-;-;-;-;-;-;-;-;-;-
    Leitungs- und Verwaltungspersonal;weiblich;-;-;-;-;-;-;-;-;-;-
    Leitungs- und Verwaltungspersonal;Insgesamt;-;-;-;-;-;-;-;-;-;-
  Nebenberufl. Verwaltungs-, techn. u.sonst.Personal;männlich;1898;1980;1863;2171;2281;2394;2455;2073;2253;2377
  Nebenberufl. Verwaltungs-, techn. u.sonst.Personal;weiblich;2323;2398;2400;2930;3184;3277;3469;3494;3749;3832
  Nebenberufl. Verwaltungs-, techn. u.sonst.Personal;Insgesamt;4221;4378;4263;5101;5465;5671;5924;5567;6002;6209
    Sonstige Hilfskräfte;männlich;1898;1980;1863;2171;2281;2394;2455;2073;2253;2377
    Sonstige Hilfskräfte;weiblich;2323;2398;2400;2930;3184;3277;3469;3494;3749;3832
    Sonstige Hilfskräfte;Insgesamt;4221;4378;4263;5101;5465;5671;5924;5567;6002;6209
    Zeitweilig Beschäftigte;männlich;-;-;-;-;-;-;-;-;-;-
    Zeitweilig Beschäftigte;weiblich;-;-;-;-;-;-;-;-;-;-
    Zeitweilig Beschäftigte;Insgesamt;-;-;-;-;-;-;-;-;-;-
Insgesamt;männlich;317102;323924;325720;327623;333011;338100;342654;348040;355285;355537
Insgesamt;weiblich;344974;351222;358665;363740;371596;381103;395108;411025;425897;432000
Insgesamt;Insgesamt;662076;675146;684385;691363;704607;719203;737762;759065;781182;787537
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 12.07.2024 / 13:26:21
